Cond,Item,Sentence,Verb,Arg,Subject_Token,Verb_Token,   
caus.cos.intr,151,The wine was aging in the bottle on the top shelf.,Causative,Intrans,wine,age,"“wine age_INF"""
caus.cos.tran,151,The biologist was aging the bacteria in the bottle.,Causative,Trans,biologist,age,"“biologist age_INF"""
caus.cos.intr,188,The treat was balancing on the wheel at the competition.,Causative,Intrans,treat,balance,"“treat balance_INF"""
caus.cos.tran,188,The trainer was balancing some treats on the wheel.,Causative,Trans,trainer,balance,"“trainer balance_INF"""
caus.cos.intr,129,The children were changing in the bathroom at the mall.,Causative,Intrans,children,change,"“children change_INF"""
caus.cos.tran,129,The council was changing some bylaws at the assembly.,Causative,Trans,council,change,"“council change_INF"""
caus.cos.intr,121,The paint was chipping on the walls of the porch.,Causative,Intrans,paint,chip,"“paint chip_INF"""
caus.cos.tran,121,The hail was chipping the paint on the porch.,Causative,Trans,hail,chip,"“hail chip_INF"""
caus.act.intr,204,The chef was chopping at the counter in the kitchen.,Activity,Intrans,chef,chop,"“chef chop_INF"""
caus.act.tran,204,The chef was chopping the tomatoes at the counter.,Activity,Trans,chef,chop,"“chef chop_INF"""
caus.act.intr,279,The waitress was cleaning by the counter in the kitchen.,Activity,Intrans,waitress,clean,"“waitress clean_INF"""
caus.act.tran,279,The waitress was cleaning some plates by the counter.,Activity,Trans,waitress,clean,"“waitress clean_INF"""
caus.cos.intr,158,The weather was clearing at the lake in the forest.,Causative,Intrans,weather,clear,"“weather clear_INF"""
caus.cos.tran,158,The loggers were clearing the trees at the lake.,Causative,Trans,loggers,clear,"“loggers clear_INF"""
caus.cos.intr,163,The fog was clearing by the road near the river.,Causative,Intrans,fog,clear,"“fog clear_INF"""
caus.cos.tran,163,The father was clearing the table in the dining room.,Causative,Trans,father,clear,"“father clear_INF"""
caus.cos.intr,177,The pipes were clogging by the sink at the hospital.,Causative,Intrans,pipes,clog,"“pipes clog_INF"""
caus.cos.tran,177,The plaque was clogging the arteries in the heart.,Causative,Trans,plaque,clog,"“plaque clog_INF"""
caus.cos.intr,152,The mall was closing the stores on the east wing.,Causative,Intrans,mall,close,"“mall close_INF"""
caus.cos.tran,152,The store was closing at the mall by the lake.,Causative,Trans,store,close,"“store close_INF"""
caus.cos.intr,133,The soup was cooling in the refrigerator behind the bar.,Causative,Intrans,soup,cool,"“soup cool_INF"""
caus.cos.tran,133,The bartender was cooling some drinks in the refrigerator.,Causative,Trans,bartender,cool,"“bartender cool_INF"""
caus.cos.intr,106,The pipe was corroding at the connection in the wall.,Causative,Intrans,pipe,corrode,"“pipe corrode_INF"""
caus.cos.tran,106,The leak was corroding the pipes at the connection.,Causative,Trans,leak,corrode,"“leak corrode_INF"""
caus.cos.intr,155,The robots were crashing by the mirror at the competition.,Causative,Intrans,robots,crash,"“robots crash_INF"""
caus.cos.tran,155,The students were crashing the robots at the competition.,Causative,Trans,students,crash,"“students crash_INF"""
caus.cos.intr,164,The piecrust was crumbling in the showcase at the bakery.,Causative,Intrans,piecrust,crumble,"“piecrust crumble_INF"""
caus.cos.tran,164,The cook was crumbling some dough in the bowl.,Causative,Trans,cook,crumble,"“cook crumble_INF"""
caus.cos.intr,107,The tires were deflating in the garage at the shop.,Causative,Intrans,tires,deflate,"“tires deflate_INF"""
caus.cos.tran,107,The cold was deflating some tires in the garage.,Causative,Trans,cold,deflate,"“cold deflate_INF"""
caus.cos.intr,109,The powder was dissolving in the beaker on the table,Causative,Intrans,powder,dissolve,"“powder dissolve_INF"""
caus.cos.tran,109,The chemist was dissolving some chemicals in the beaker.,Causative,Trans,chemist,dissolve,"“chemist dissolve_INF"""
caus.act.intr,253,The illustrator was drawing in the garden at the park.,Activity,Intrans,illustrator,draw,"“illustrator draw_INF"""
caus.act.tran,253,The illustrator was drawing some illustrations in the garden.,Activity,Trans,illustrator,draw,"“illustrator draw_INF"""
caus.act.intr,264,The birds were drinking by the waterfall in the forest.,Activity,Intrans,birds,drink,"“birds drink_INF"""
caus.act.tran,264,The birds were drinking some water by the waterfall.,Activity,Trans,birds,drink,"“birds drink_INF"""
caus.cos.intr,135,The towel was drying on the front porch across the street.,Causative,Intrans,towel,dry,"“towel dry_INF"""
caus.cos.tran,135,The father was drying the laundry on the front porch.,Causative,Trans,father,dry,"“father dry_INF"""
caus.cos.intr,149,The towels were drying at the salon in the shopping mall.,Causative,Intrans,towels,dry,"“towels dry_INF"""
caus.cos.tran,149,The machine was drying some towels at the salon.,Causative,Trans,machine,dry,"“machine dry_INF"""
caus.act.intr,210,The maid was dusting in the hallway on the second floor.,Activity,Intrans,maid,dust,"“maid dust_INF"""
caus.act.tran,210,The maid was dusting some bookcases in the hallway.,Activity,Trans,maid,dust,"“maid dust_INF"""
caus.act.intr,263,The teenager was eating in the lunchroom at the school.,Activity,Intrans,teenager,eat,"“teenager eat_INF"""
caus.act.tran,263,The teenager was eating some food in the lunchroom.,Activity,Trans,teenager,eat,"“teenager eat_INF"""
caus.cos.intr,110,The photograph was fading by the window in the dining room ,Causative,Intrans,photograph,fade,"“photograph fade_INF"""
caus.cos.tran,110,The sunlight was fading the portrait on the dining room wall.,Causative,Trans,sunlight,fade,"“sunlight fade_INF"""
caus.cos.intr,172,The clothes were fading in the washer at the camp.,Causative,Intrans,clothes,fade,"“clothes fade_INF"""
caus.cos.tran,172,The detergent was fading the clothes in the washer.,Causative,Trans,detergent,fade,"“detergent fade_INF"""
caus.cos.intr,173,The streets were flooding at the corner near the mall.,Causative,Intrans,streets,flood,"“streets flood_INF"""
caus.cos.tran,173,The rain was flooding the streets at the corner near the mall.,Causative,Trans,rain,flood,"“rain flood_INF"""
